epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
61,112796,1.10997,0.3682,0.16913,0.59725,0.4947,0.53079,0.16684,1.00334,0.48029,0.19117,0.00406,0.00406,0.00406
62,114629,1.18929,0.34891,0.18615,0.58991,0.48801,0.52144,0.16221,1.01166,0.47645,0.1918,0.003961,0.003961,0.003961
63,116466,1.04039,0.38628,0.15633,0.59751,0.49773,0.53268,0.16647,1.00306,0.48032,0.19125,0.003862,0.003862,0.003862
64,118307,1.05565,0.38104,0.16262,0.59914,0.49818,0.53413,0.16675,1.00379,0.47905,0.19132,0.003763,0.003763,0.003763
65,120143,1.09943,0.372,0.16647,0.59241,0.49516,0.52765,0.16264,1.00948,0.47638,0.19168,0.003664,0.003664,0.003664
66,121999,1.14392,0.36118,0.17557,0.57838,0.4879,0.51405,0.15616,1.01764,0.47113,0.19201,0.003565,0.003565,0.003565
67,123852,1.16272,0.35632,0.17753,0.57241,0.48417,0.50794,0.15371,1.02124,0.4673,0.19173,0.003466,0.003466,0.003466
68,125690,1.17361,0.35504,0.18465,0.59729,0.50303,0.53529,0.16505,1.00281,0.47287,0.18976,0.003367,0.003367,0.003367
69,127534,1.2172,0.34327,0.18814,0.61716,0.51971,0.55879,0.17557,0.98682,0.47702,0.18791,0.003268,0.003268,0.003268
70,129391,1.24215,0.34005,0.20731,0.6289,0.52799,0.57149,0.18076,0.98026,0.4766,0.18732,0.003169,0.003169,0.003169
71,131240,1.04118,0.38689,0.1635,0.63281,0.5279,0.57464,0.18126,0.98126,0.47334,0.18766,0.00307,0.00307,0.00307
72,133085,1.22871,0.34007,0.19329,0.65384,0.54535,0.6003,0.1952,0.96013,0.47919,0.18573,0.002971,0.002971,0.002971
73,134932,1.28202,0.32694,0.20623,0.66783,0.55797,0.61772,0.20692,0.94316,0.48315,0.18364,0.002872,0.002872,0.002872
74,136771,1.12291,0.36624,0.18051,0.67875,0.56629,0.6305,0.21459,0.9317,0.48415,0.18206,0.002773,0.002773,0.002773
75,138611,0.97573,0.39871,0.15361,0.68714,0.5728,0.64057,0.22077,0.92221,0.48394,0.1805,0.002674,0.002674,0.002674
76,140460,1.11753,0.36794,0.17188,0.67269,0.55995,0.62302,0.20862,0.93754,0.47496,0.18021,0.002575,0.002575,0.002575
77,142304,1.14761,0.36209,0.18252,0.68849,0.5746,0.64276,0.22425,0.9168,0.48064,0.17759,0.002476,0.002476,0.002476
78,144156,1.09961,0.37135,0.17038,0.68084,0.56618,0.63128,0.21423,0.92877,0.47357,0.17705,0.002377,0.002377,0.002377
79,145992,1.21972,0.34351,0.18786,0.68715,0.5744,0.64121,0.22183,0.91734,0.47615,0.17492,0.002278,0.002278,0.002278
80,147841,1.09042,0.37143,0.17752,0.66808,0.56137,0.62234,0.21294,0.92932,0.4708,0.17413,0.002179,0.002179,0.002179
81,149686,0.8401,0.42231,0.13872,0.65794,0.5515,0.60985,0.20614,0.93694,0.46745,0.1734,0.00208,0.00208,0.00208
82,151536,0.82641,0.42438,0.1357,0.67486,0.56626,0.6312,0.21787,0.9197,0.47139,0.17085,0.001981,0.001981,0.001981
83,153389,0.93247,0.40214,0.14873,0.71133,0.59744,0.6754,0.24546,0.88116,0.48118,0.16685,0.001882,0.001882,0.001882
84,155224,1.02586,0.38652,0.15517,0.73899,0.62741,0.71493,0.28252,0.8326,0.4946,0.16224,0.001783,0.001783,0.001783
85,157066,1.35555,0.31184,0.20257,0.73922,0.62664,0.71527,0.28422,0.82959,0.49444,0.16005,0.001684,0.001684,0.001684
86,158908,1.22843,0.3411,0.19783,0.74352,0.63268,0.72272,0.29616,0.81334,0.49759,0.15709,0.001585,0.001585,0.001585
87,160752,1.41911,0.29552,0.23008,0.75353,0.64779,0.73939,0.32436,0.77769,0.50681,0.15347,0.001486,0.001486,0.001486
88,162589,1.24749,0.33765,0.18596,0.75811,0.65378,0.74609,0.33496,0.76267,0.50943,0.15125,0.001387,0.001387,0.001387
89,164430,1.0493,0.3786,0.16845,0.76331,0.65931,0.75307,0.35288,0.74073,0.5127,0.14863,0.001288,0.001288,0.001288
90,166272,0.95986,0.3954,0.15356,0.76646,0.66316,0.75815,0.3662,0.72447,0.51274,0.14624,0.001189,0.001189,0.001189
91,167595,0.61863,0.46269,0.09991,0.77065,0.66807,0.76485,0.38455,0.70261,0.51346,0.14295,0.00109,0.00109,0.00109
92,168916,0.76645,0.44135,0.10897,0.77293,0.67375,0.77058,0.39655,0.68793,0.51359,0.13985,0.000991,0.000991,0.000991
93,170235,0.71465,0.44768,0.10655,0.77575,0.67682,0.77422,0.39582,0.68669,0.51052,0.13787,0.000892,0.000892,0.000892
94,171559,0.81204,0.43557,0.12853,0.77655,0.67895,0.7752,0.38612,0.69595,0.50511,0.13679,0.000793,0.000793,0.000793
95,172881,1.0345,0.39195,0.14758,0.77828,0.68135,0.77663,0.38016,0.70213,0.50151,0.13556,0.000694,0.000694,0.000694
96,174195,0.64999,0.45828,0.10287,0.77917,0.68158,0.77656,0.37275,0.70987,0.49642,0.13438,0.000595,0.000595,0.000595
97,175511,0.7716,0.43781,0.11438,0.77832,0.67966,0.77358,0.3558,0.72983,0.48985,0.13416,0.000496,0.000496,0.000496
98,176828,0.68361,0.45294,0.10278,0.77821,0.68017,0.77338,0.34905,0.73834,0.4857,0.13296,0.000397,0.000397,0.000397
99,178143,0.67752,0.45093,0.10216,0.7779,0.67941,0.77208,0.3446,0.74307,0.4825,0.13186,0.000298,0.000298,0.000298
100,179455,0.65622,0.44973,0.10301,0.77437,0.6779,0.7687,0.33663,0.75149,0.47889,0.13116,0.000199,0.000199,0.000199
